image,image_path,sequence,image_number,emotion
S111_001_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000012.png,S111_001,12,7
S111_001_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000006.png,S111_001,6,7
S111_001_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000007.png,S111_001,7,7
S111_001_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000013.png,S111_001,13,7
S111_001_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000005.png,S111_001,5,7
S111_001_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000011.png,S111_001,11,7
S111_001_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000010.png,S111_001,10,7
S111_001_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S111/001/S111_001_00000004.png,S111_001,4,0
S111_006_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000009.png,S111_006,9,1
S111_006_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000008.png,S111_006,8,1
S111_006_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000001.png,S111_006,1,0
S111_006_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000003.png,S111_006,3,0
S111_006_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000002.png,S111_006,2,0
S111_006_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000006.png,S111_006,6,1
S111_006_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000007.png,S111_006,7,1
S111_006_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000005.png,S111_006,5,1
S111_006_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000010.png,S111_006,10,1
S111_006_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S111/006/S111_006_00000004.png,S111_006,4,0
S129_012_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000001.png,S129_012,1,0
S129_012_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000003.png,S129_012,3,0
S129_012_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000002.png,S129_012,2,0
S129_012_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000006.png,S129_012,6,5
S129_012_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000007.png,S129_012,7,5
S129_012_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000011.png,S129_012,11,5
S129_012_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000005.png,S129_012,5,5
S129_012_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000004.png,S129_012,4,0
S129_012_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000010.png,S129_012,10,5
S129_012_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000009.png,S129_012,9,5
S129_012_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S129/012/S129_012_00000008.png,S129_012,8,5
S129_006_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000006.png,S129_006,6,1
S129_006_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000007.png,S129_006,7,1
S129_006_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000005.png,S129_006,5,1
S129_006_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000010.png,S129_006,10,1
S129_006_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000004.png,S129_006,4,0
S129_006_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000001.png,S129_006,1,0
S129_006_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000003.png,S129_006,3,0
S129_006_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000002.png,S129_006,2,0
S129_006_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000009.png,S129_006,9,1
S129_006_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S129/006/S129_006_00000008.png,S129_006,8,1
S129_011_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000008.png,S129_011,8,3
S129_011_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000009.png,S129_011,9,3
S129_011_00000018.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000018.png,S129_011,18,3
S129_011_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000015.png,S129_011,15,3
S129_011_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000001.png,S129_011,1,0
S129_011_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000014.png,S129_011,14,3
S129_011_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000002.png,S129_011,2,0
S129_011_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000016.png,S129_011,16,3
S129_011_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000017.png,S129_011,17,3
S129_011_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000003.png,S129_011,3,0
S129_011_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000007.png,S129_011,7,3
S129_011_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000013.png,S129_011,13,3
S129_011_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000012.png,S129_011,12,3
S129_011_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000006.png,S129_011,6,3
S129_011_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000010.png,S129_011,10,3
S129_011_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000004.png,S129_011,4,0
S129_011_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000005.png,S129_011,5,3
S129_011_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S129/011/S129_011_00000011.png,S129_011,11,3
S129_002_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000008.png,S129_002,8,7
S129_002_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000009.png,S129_002,9,7
S129_002_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000007.png,S129_002,7,7
S129_002_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000006.png,S129_002,6,7
S129_002_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000004.png,S129_002,4,0
S129_002_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000010.png,S129_002,10,7
S129_002_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000011.png,S129_002,11,7
S129_002_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000005.png,S129_002,5,7
S129_002_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000001.png,S129_002,1,0
S129_002_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000002.png,S129_002,2,0
S129_002_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S129/002/S129_002_00000003.png,S129_002,3,0
S116_007_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000014.png,S116_007,14,5
S116_007_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000015.png,S116_007,15,5
S116_007_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000001.png,S116_007,1,0
S116_007_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000017.png,S116_007,17,5
S116_007_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000003.png,S116_007,3,0
S116_007_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000002.png,S116_007,2,0
S116_007_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000016.png,S116_007,16,5
S116_007_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000012.png,S116_007,12,5
S116_007_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000006.png,S116_007,6,5
S116_007_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000007.png,S116_007,7,5
S116_007_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000013.png,S116_007,13,5
S116_007_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000005.png,S116_007,5,5
S116_007_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000011.png,S116_007,11,5
S116_007_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000010.png,S116_007,10,5
S116_007_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000004.png,S116_007,4,0
S116_007_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000009.png,S116_007,9,5
S116_007_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S116/007/S116_007_00000008.png,S116_007,8,5
S116_001_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000013.png,S116_001,13,7
S116_001_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000007.png,S116_001,7,7
S116_001_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000006.png,S116_001,6,7
S116_001_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000012.png,S116_001,12,7
S116_001_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000004.png,S116_001,4,0
S116_001_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000010.png,S116_001,10,7
S116_001_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000011.png,S116_001,11,7
S116_001_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000005.png,S116_001,5,7
S116_001_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000001.png,S116_001,1,0
S116_001_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000014.png,S116_001,14,7
S116_001_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000002.png,S116_001,2,0
S116_001_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000003.png,S116_001,3,0
S116_001_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000008.png,S116_001,8,7
S116_001_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S116/001/S116_001_00000009.png,S116_001,9,7
S116_006_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000007.png,S116_006,7,3
S116_006_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000006.png,S116_006,6,3
S116_006_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000004.png,S116_006,4,0
S116_006_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000005.png,S116_006,5,3
S116_006_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000001.png,S116_006,1,0
S116_006_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000002.png,S116_006,2,0
S116_006_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S116/006/S116_006_00000003.png,S116_006,3,0
S127_001_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000014.png,S127_001,14,7
S127_001_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000015.png,S127_001,15,7
S127_001_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000001.png,S127_001,1,0
S127_001_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000017.png,S127_001,17,7
S127_001_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000003.png,S127_001,3,0
S127_001_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000002.png,S127_001,2,0
S127_001_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000016.png,S127_001,16,7
S127_001_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000012.png,S127_001,12,7
S127_001_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000006.png,S127_001,6,7
S127_001_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000007.png,S127_001,7,7
S127_001_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000013.png,S127_001,13,7
S127_001_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000005.png,S127_001,5,7
S127_001_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000011.png,S127_001,11,7
S127_001_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000010.png,S127_001,10,7
S127_001_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000004.png,S127_001,4,0
S127_001_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000009.png,S127_001,9,7
S127_001_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S127/001/S127_001_00000008.png,S127_001,8,7
S127_010_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000009.png,S127_010,9,1
S127_010_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000008.png,S127_010,8,1
S127_010_00000018.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000018.png,S127_010,18,1
S127_010_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000014.png,S127_010,14,1
S127_010_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000001.png,S127_010,1,0
S127_010_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000015.png,S127_010,15,1
S127_010_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000003.png,S127_010,3,0
S127_010_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000017.png,S127_010,17,1
S127_010_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000016.png,S127_010,16,1
S127_010_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000002.png,S127_010,2,0
S127_010_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000006.png,S127_010,6,1
S127_010_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000012.png,S127_010,12,1
S127_010_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000013.png,S127_010,13,1
S127_010_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000007.png,S127_010,7,1
S127_010_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000011.png,S127_010,11,1
S127_010_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000005.png,S127_010,5,1
S127_010_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000004.png,S127_010,4,0
S127_010_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S127/010/S127_010_00000010.png,S127_010,10,1
S127_004_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000009.png,S127_004,9,5
S127_004_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000008.png,S127_004,8,5
S127_004_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000012.png,S127_004,12,5
S127_004_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000006.png,S127_004,6,5
S127_004_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000007.png,S127_004,7,5
S127_004_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000013.png,S127_004,13,5
S127_004_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000005.png,S127_004,5,5
S127_004_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000011.png,S127_004,11,5
S127_004_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000010.png,S127_004,10,5
S127_004_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000004.png,S127_004,4,0
S127_004_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000014.png,S127_004,14,5
S127_004_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000015.png,S127_004,15,5
S127_004_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000001.png,S127_004,1,0
S127_004_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000003.png,S127_004,3,0
S127_004_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000002.png,S127_004,2,0
S127_004_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S127/004/S127_004_00000016.png,S127_004,16,5
S119_008_00000018.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000018.png,S119_008,18,1
S119_008_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000009.png,S119_008,9,1
S119_008_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000008.png,S119_008,8,1
S119_008_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000005.png,S119_008,5,1
S119_008_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000011.png,S119_008,11,1
S119_008_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000010.png,S119_008,10,1
S119_008_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000004.png,S119_008,4,0
S119_008_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000012.png,S119_008,12,1
S119_008_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000006.png,S119_008,6,1
S119_008_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000007.png,S119_008,7,1
S119_008_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000013.png,S119_008,13,1
S119_008_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000017.png,S119_008,17,1
S119_008_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000003.png,S119_008,3,0
S119_008_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000002.png,S119_008,2,0
S119_008_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000016.png,S119_008,16,1
S119_008_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000014.png,S119_008,14,1
S119_008_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000015.png,S119_008,15,1
S119_008_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S119/008/S119_008_00000001.png,S119_008,1,0
S119_001_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000001.png,S119_001,1,0
S119_001_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000003.png,S119_001,3,0
S119_001_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000002.png,S119_001,2,0
S119_001_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000006.png,S119_001,6,7
S119_001_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000007.png,S119_001,7,7
S119_001_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000005.png,S119_001,5,7
S119_001_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000011.png,S119_001,11,7
S119_001_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000010.png,S119_001,10,7
S119_001_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000004.png,S119_001,4,0
S119_001_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000009.png,S119_001,9,7
S119_001_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S119/001/S119_001_00000008.png,S119_001,8,7
S119_003_00000018.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000018.png,S119_003,18,4
S119_003_00000024.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000024.png,S119_003,24,4
S119_003_00000019.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000019.png,S119_003,19,4
S119_003_00000021.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000021.png,S119_003,21,4
S119_003_00000009.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000009.png,S119_003,9,4
S119_003_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000008.png,S119_003,8,4
S119_003_00000020.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000020.png,S119_003,20,4
S119_003_00000022.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000022.png,S119_003,22,4
S119_003_00000023.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000023.png,S119_003,23,4
S119_003_00000012.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000012.png,S119_003,12,4
S119_003_00000006.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000006.png,S119_003,6,4
S119_003_00000007.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000007.png,S119_003,7,4
S119_003_00000013.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000013.png,S119_003,13,4
S119_003_00000005.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000005.png,S119_003,5,4
S119_003_00000011.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000011.png,S119_003,11,4
S119_003_00000010.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000010.png,S119_003,10,4
S119_003_00000004.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000004.png,S119_003,4,0
S119_003_00000014.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000014.png,S119_003,14,4
S119_003_00000015.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000015.png,S119_003,15,4
S119_003_00000001.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000001.png,S119_003,1,0
S119_003_00000017.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000017.png,S119_003,17,4
S119_003_00000003.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000003.png,S119_003,3,0
S119_003_00000002.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000002.png,S119_003,2,0
S119_003_00000016.png,../01_raw_data/CK+/cohn-kanade-images/S119/003/S119_003_00000016.png,S119_003,16,4
S126_008_00000025.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000025.png,S126_008,25,1
S126_008_00000019.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000019.png,S126_008,19,1
S126_008_00000018.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000018.png,S126_008,18,1
S126_008_00000024.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000024.png,S126_008,24,1
S126_008_00000026.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000026.png,S126_008,26,1
S126_008_00000027.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000027.png,S126_008,27,1
S126_008_00000023.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000023.png,S126_008,23,1
S126_008_00000022.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000022.png,S126_008,22,1
S126_008_00000008.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000008.png,S126_008,8,1
S126_008_00000020.png,../01_raw_data/CK+/cohn-kanade-images/S126/008/S126_008_00000020.png,S126_008,20,1
